,Date,Symbol,close_price,medrv
35372,01/03/2012,30Yr,2.98,0
35371,01/04/2012,30Yr,3.03,0
35370,01/05/2012,30Yr,3.06,0
35369,01/06/2012,30Yr,3.02,0
35368,01/09/2012,30Yr,3.02,0
35367,01/10/2012,30Yr,3.04,0
35366,01/11/2012,30Yr,2.96,0
35365,01/12/2012,30Yr,2.97,0
35364,01/13/2012,30Yr,2.91,0
35363,01/17/2012,30Yr,2.89,0
35362,01/18/2012,30Yr,2.96,0
35361,01/19/2012,30Yr,3.05,0
35360,01/20/2012,30Yr,3.1,0
35359,01/23/2012,30Yr,3.15,0
35358,01/24/2012,30Yr,3.15,0
35357,01/25/2012,30Yr,3.13,0
35356,01/26/2012,30Yr,3.1,0
35355,01/27/2012,30Yr,3.07,0
35354,01/30/2012,30Yr,2.99,0
35353,01/31/2012,30Yr,2.94,0
35352,02/01/2012,30Yr,3.01,0
35351,02/02/2012,30Yr,3.01,0
35350,02/03/2012,30Yr,3.13,0
35349,02/06/2012,30Yr,3.08,0
35348,02/07/2012,30Yr,3.14,0
35347,02/08/2012,30Yr,3.14,0
35346,02/09/2012,30Yr,3.2,0
35345,02/10/2012,30Yr,3.11,0
35344,02/13/2012,30Yr,3.14,0
35343,02/14/2012,30Yr,3.06,0
35342,02/15/2012,30Yr,3.09,0
35341,02/16/2012,30Yr,3.14,0
35340,02/17/2012,30Yr,3.16,0
35339,02/21/2012,30Yr,3.2,0
35338,02/22/2012,30Yr,3.15,0
35337,02/23/2012,30Yr,3.13,0
35336,02/24/2012,30Yr,3.1,0
35335,02/27/2012,30Yr,3.04,0
35334,02/28/2012,30Yr,3.07,0
35333,02/29/2012,30Yr,3.08,0
35332,03/01/2012,30Yr,3.15,0
35331,03/02/2012,30Yr,3.11,0
35330,03/05/2012,30Yr,3.13,0
35329,03/06/2012,30Yr,3.08,0
35328,03/07/2012,30Yr,3.12,0
35327,03/08/2012,30Yr,3.18,0
35326,03/09/2012,30Yr,3.19,0
35325,03/12/2012,30Yr,3.17,0
35324,03/13/2012,30Yr,3.26,0
35323,03/14/2012,30Yr,3.43,0
35322,03/15/2012,30Yr,3.41,0
35321,03/16/2012,30Yr,3.41,0
35320,03/19/2012,30Yr,3.48,0
35319,03/20/2012,30Yr,3.46,0
35318,03/21/2012,30Yr,3.38,0
35317,03/22/2012,30Yr,3.37,0
35316,03/23/2012,30Yr,3.31,0
35315,03/26/2012,30Yr,3.33,0
35314,03/27/2012,30Yr,3.29,0
35313,03/28/2012,30Yr,3.31,0
35312,03/29/2012,30Yr,3.27,0
35311,03/30/2012,30Yr,3.35,0
35310,04/02/2012,30Yr,3.35,0
35309,04/03/2012,30Yr,3.41,0
35308,04/04/2012,30Yr,3.37,0
35307,04/05/2012,30Yr,3.32,0
35306,04/06/2012,30Yr,3.21,0
35305,04/09/2012,30Yr,3.18,0
35304,04/10/2012,30Yr,3.13,0
35303,04/11/2012,30Yr,3.18,0
35302,04/12/2012,30Yr,3.22,0
35301,04/13/2012,30Yr,3.14,0
35300,04/16/2012,30Yr,3.12,0
35299,04/17/2012,30Yr,3.15,0
35298,04/18/2012,30Yr,3.13,0
35297,04/19/2012,30Yr,3.12,0
35296,04/20/2012,30Yr,3.12,0
35295,04/23/2012,30Yr,3.08,0
35294,04/24/2012,30Yr,3.12,0
35293,04/25/2012,30Yr,3.15,0
35292,04/26/2012,30Yr,3.13,0
35291,04/27/2012,30Yr,3.12,0
35290,04/30/2012,30Yr,3.12,0
35289,05/01/2012,30Yr,3.16,0
35288,05/02/2012,30Yr,3.11,0
35287,05/03/2012,30Yr,3.12,0
35286,05/04/2012,30Yr,3.07,0
35285,05/07/2012,30Yr,3.07,0
35284,05/08/2012,30Yr,3.03,0
35283,05/09/2012,30Yr,3.03,0
35282,05/10/2012,30Yr,3.07,0
35281,05/11/2012,30Yr,3.02,0
35280,05/14/2012,30Yr,2.95,0
35279,05/15/2012,30Yr,2.91,0
35278,05/16/2012,30Yr,2.9,0
35277,05/17/2012,30Yr,2.8,0
35276,05/18/2012,30Yr,2.8,0
35275,05/21/2012,30Yr,2.8,0
35274,05/22/2012,30Yr,2.88,0
35273,05/23/2012,30Yr,2.81,0
35272,05/24/2012,30Yr,2.86,0
35271,05/25/2012,30Yr,2.85,0
35270,05/29/2012,30Yr,2.85,0
35269,05/30/2012,30Yr,2.72,0
35268,05/31/2012,30Yr,2.67,0
35267,06/01/2012,30Yr,2.53,0
35266,06/04/2012,30Yr,2.56,0
35265,06/05/2012,30Yr,2.63,0
35264,06/06/2012,30Yr,2.73,0
35263,06/07/2012,30Yr,2.75,0
35262,06/08/2012,30Yr,2.77,0
35261,06/11/2012,30Yr,2.71,0
35260,06/12/2012,30Yr,2.77,0
35259,06/13/2012,30Yr,2.7,0
35258,06/14/2012,30Yr,2.73,0
35257,06/15/2012,30Yr,2.7,0
35256,06/18/2012,30Yr,2.67,0
35255,06/19/2012,30Yr,2.73,0
35254,06/20/2012,30Yr,2.72,0
35253,06/21/2012,30Yr,2.68,0
35252,06/22/2012,30Yr,2.75,0
35251,06/25/2012,30Yr,2.69,0
35250,06/26/2012,30Yr,2.71,0
35249,06/27/2012,30Yr,2.7,0
35248,06/28/2012,30Yr,2.67,0
35247,06/29/2012,30Yr,2.76,0
35246,07/02/2012,30Yr,2.69,0
35245,07/03/2012,30Yr,2.74,0
35244,07/05/2012,30Yr,2.72,0
35243,07/06/2012,30Yr,2.66,0
35242,07/09/2012,30Yr,2.62,0
35241,07/10/2012,30Yr,2.6,0
35240,07/11/2012,30Yr,2.6,0
35239,07/12/2012,30Yr,2.57,0
35238,07/13/2012,30Yr,2.58,0
35237,07/16/2012,30Yr,2.56,0
35236,07/17/2012,30Yr,2.59,0
35235,07/18/2012,30Yr,2.59,0
35234,07/19/2012,30Yr,2.61,0
35233,07/20/2012,30Yr,2.55,0
35232,07/23/2012,30Yr,2.52,0
35231,07/24/2012,30Yr,2.47,0
35230,07/25/2012,30Yr,2.46,0
35229,07/26/2012,30Yr,2.49,0
35228,07/27/2012,30Yr,2.63,0
35227,07/30/2012,30Yr,2.58,0
35226,07/31/2012,30Yr,2.56,0
35225,08/01/2012,30Yr,2.6,0
35224,08/02/2012,30Yr,2.55,0
35223,08/03/2012,30Yr,2.65,0
35222,08/06/2012,30Yr,2.65,0
35221,08/07/2012,30Yr,2.72,0
35220,08/08/2012,30Yr,2.75,0
35219,08/09/2012,30Yr,2.78,0
35218,08/10/2012,30Yr,2.74,0
35217,08/13/2012,30Yr,2.74,0
35216,08/14/2012,30Yr,2.82,0
35215,08/15/2012,30Yr,2.9,0
35214,08/16/2012,30Yr,2.96,0
35213,08/17/2012,30Yr,2.93,0
35212,08/20/2012,30Yr,2.93,0
35211,08/21/2012,30Yr,2.9,0
35210,08/22/2012,30Yr,2.82,0
35209,08/23/2012,30Yr,2.79,0
35208,08/24/2012,30Yr,2.79,0
35207,08/27/2012,30Yr,2.76,0
35206,08/28/2012,30Yr,2.75,0
35205,08/29/2012,30Yr,2.77,0
35204,08/30/2012,30Yr,2.75,0
35203,08/31/2012,30Yr,2.68,0
35202,09/04/2012,30Yr,2.69,0
35201,09/05/2012,30Yr,2.7,0
35200,09/06/2012,30Yr,2.8,0
35199,09/07/2012,30Yr,2.81,0
35198,09/10/2012,30Yr,2.83,0
35197,09/11/2012,30Yr,2.84,0
35196,09/12/2012,30Yr,2.92,0
35195,09/13/2012,30Yr,2.95,0
35194,09/14/2012,30Yr,3.09,0
35193,09/17/2012,30Yr,3.03,0
35192,09/18/2012,30Yr,3.0,0
35191,09/19/2012,30Yr,2.97,0
35190,09/20/2012,30Yr,2.96,0
35189,09/21/2012,30Yr,2.95,0
35188,09/24/2012,30Yr,2.91,0
35187,09/25/2012,30Yr,2.86,0
35186,09/26/2012,30Yr,2.79,0
35185,09/27/2012,30Yr,2.83,0
35184,09/28/2012,30Yr,2.82,0
