,Date,Symbol,close_price,medrv
0,01/03/2022,1Mo,0.05,0
1,01/04/2022,1Mo,0.06,0
2,01/05/2022,1Mo,0.05,0
3,01/06/2022,1Mo,0.04,0
4,01/07/2022,1Mo,0.05,0
5,01/10/2022,1Mo,0.05,0
6,01/11/2022,1Mo,0.04,0
7,01/12/2022,1Mo,0.04,0
8,01/13/2022,1Mo,0.05,0
9,01/14/2022,1Mo,0.05,0
10,01/18/2022,1Mo,0.05,0
11,01/19/2022,1Mo,0.05,0
12,01/20/2022,1Mo,0.05,0
13,01/21/2022,1Mo,0.05,0
14,01/24/2022,1Mo,0.05,0
15,01/25/2022,1Mo,0.05,0
16,01/26/2022,1Mo,0.06,0
17,01/27/2022,1Mo,0.04,0
18,01/28/2022,1Mo,0.04,0
19,01/31/2022,1Mo,0.03,0
20,02/01/2022,1Mo,0.04,0
21,02/02/2022,1Mo,0.04,0
22,02/03/2022,1Mo,0.03,0
23,02/04/2022,1Mo,0.05,0
24,02/07/2022,1Mo,0.03,0
25,02/08/2022,1Mo,0.03,0
26,02/09/2022,1Mo,0.04,0
27,02/10/2022,1Mo,0.05,0
28,02/11/2022,1Mo,0.03,0
29,02/14/2022,1Mo,0.03,0
30,02/15/2022,1Mo,0.02,0
31,02/16/2022,1Mo,0.03,0
32,02/17/2022,1Mo,0.06,0
33,02/18/2022,1Mo,0.03,0
34,02/22/2022,1Mo,0.03,0
35,02/23/2022,1Mo,0.02,0
36,02/24/2022,1Mo,0.05,0
37,02/25/2022,1Mo,0.03,0
38,02/28/2022,1Mo,0.06,0
39,03/01/2022,1Mo,0.11,0
40,03/02/2022,1Mo,0.13,0
41,03/03/2022,1Mo,0.19,0
42,03/04/2022,1Mo,0.15,0
43,03/07/2022,1Mo,0.17,0
44,03/08/2022,1Mo,0.16,0
45,03/09/2022,1Mo,0.18,0
46,03/10/2022,1Mo,0.19,0
47,03/11/2022,1Mo,0.17,0
48,03/14/2022,1Mo,0.23,0
49,03/15/2022,1Mo,0.22,0
50,03/16/2022,1Mo,0.24,0
51,03/17/2022,1Mo,0.2,0
52,03/18/2022,1Mo,0.19,0
53,03/21/2022,1Mo,0.22,0
54,03/22/2022,1Mo,0.2,0
55,03/23/2022,1Mo,0.15,0
56,03/24/2022,1Mo,0.16,0
57,03/25/2022,1Mo,0.17,0
58,03/28/2022,1Mo,0.19,0
59,03/29/2022,1Mo,0.18,0
60,03/30/2022,1Mo,0.16,0
61,03/31/2022,1Mo,0.17,0
62,04/01/2022,1Mo,0.15,0
63,04/04/2022,1Mo,0.18,0
64,04/05/2022,1Mo,0.18,0
65,04/06/2022,1Mo,0.21,0
66,04/07/2022,1Mo,0.21,0
67,04/08/2022,1Mo,0.2,0
68,04/11/2022,1Mo,0.22,0
69,04/12/2022,1Mo,0.21,0
70,04/13/2022,1Mo,0.26,0
71,04/14/2022,1Mo,0.37,0
